A12 A45 A26 A16 A36 A4 A30 A44 A34 A7 A0 A6 A9 A45 A26 A16 A13 A15 A13 A16 A36 A25 A19 A14 A17 A23 A22 A23 A17 A14 A34 A7 A39 A11 A24 A11 A39 A49 A40 A25 A36 A16 A27 A16 A26 A41 A42 A33 A42 A41 A0 A34 A35 A8 A37 A8 A35 A46 A35 A34 A0 A3 A0 A6 A28 A17 A14 A10 A43 A16 A21 A49 A40 A35 A34 A0 A34 A35 A8 A31 A43 A16 A26 A45 A26 A41 A0 A10 A29 A10 A0 A41 A26 A45 A12
22
A4 A30
A7 A39
A9 A45
A15 A22
A16 A43
A19 A14
A22 A15
A24 A11
A25 A19
A27 A16
A33 A42
A37 A8
A46 A35
A3 A31
A6 A9
A17 A2
A21 A49
A35 A46
A0 A3 A7 A10
A8 A37
A45 A12 A32
A29 A47
