Bowles Birge Bechtel Cory Jacob Evan Jacob Foothill Jacob Cory Stanley Campbell Doe Campbell Stanley LeConte VLSB LeConte Stanley Cory Bechtel Latimer Mulford Latimer MLK Hearst Jacob Foothill Dwinelle HearstAnnex Dwinelle Foothill Unit1 Foothill Jacob Evan Blackwell Evan Jacob Cory Stanley LeConte Campanile Wurster Zellerbach Wurster Campanile LeConte Stanley Cory Bechtel Latimer MLK Hearst Jacob Hertz CVStarr Hertz Jacob Cory Bechtel Minor Memorial Maxwell Memorial Minor Bechtel Cory Stanley Campbell MemorialStadium Hargrove MemorialStadium Campbell Stanley Cory Bechtel Birge Bowles Calvin Etcheverry Calvin Bowles Birge Bechtel Cory Stanley Moses Wellman Sutardja Wellman Moses Stanley Cory Jacob Foothill Davis Hildebrand Davis Foothill Jacob Cory Stanley LeConte VLSB Boalt Kresge Gregoire Kah Sutardja Wellman Moses Kee Moses Stanley Cory Jacob Foothill Haviland Morgan LKShing Morgan Haviland Foothill Jacob Cory Bechtel Minor Memorial Maxwell Barrows Maxwell Memorial Minor Bechtel Cory Jacob Hertz CVStarr Unit3 CVStarr Hertz Jacob Foothill Dwinelle Haas Pavilion Haas Dwinelle Foothill Jacob Cory Bechtel Birge Bowles Calvin Etcheverry Sather Etcheverry Calvin Bowles Birge Bechtel Cory Jacob Foothill Dwinelle Haas Pavilion GBC Pavilion Haas Dwinelle Foothill Jacob Cory Stanley Moses Pimentel Stacks Pimentel Moses Stanley Cory Bechtel Baker Simons Baker Bechtel Cory Stanley Campbell MemorialStadium Hargrove Tan Warren Tan Hargrove MemorialStadium Campbell Stanley LeConte VLSB Boalt Kresge PeoplesPark Kresge Boalt VLSB LeConte Stanley Cory Jacob TopDog Jacob Cory Stanley LeConte VLSB Jupiter VLSB LeConte Stanley Moses Greek Unit2 BART Unit2 Greek Moses Stanley Cory Bechtel Latimer Edwards Latimer MLK Hearst Jacob Foothill Dwinelle HearstAnnex Pappys HearstAnnex Dwinelle Foothill Davis Hildebrand YogurtPark Hildebrand Davis Foothill Jacob Cory Stanley LeConte Campanile Bongo ShengKee Bongo Campanile LeConte Stanley Cory Jacob Foothill Dwinelle Haas Crossroads Euclid Crossroads Haas Dwinelle Foothill Jacob Cory Bechtel Wilde Bechtel Cory Stanley Moses Pimentel Stacks Sherman Stacks Pimentel Moses Stanley Cory Jacob TopDog Fenwick TopDog Jacob Cory Bechtel Birge Bowles LaVals Kips LaVals Bowles Mulford Crescent Mulford Latimer MLK Hearst Jacob TopDog Starbucks TopDog Jacob Cory Bechtel Baker Strada UCha Strada Baker Bechtel Cory Jacob Evan Moffitt Cloyne BlueDoor Cloyne Moffitt Evan Jacob TopDog Starbucks Chipotle Starbucks TopDog Jacob Cory Stanley Moses Greek Cinnaholic Greek Moses Stanley LeConte Campanile Wurster McCone Spats Botanical Spats McCone Wurster Campanile LeConte Stanley Moses Greek Unit2 Milano IndianRock FallRush IndianRock Milano Unit2 Greek Moses Stanley Cory Jacob Foothill Dwinelle Haas Crossroads Lawrence UCTheatre Lawrence Crossroads Haas Dwinelle Foothill Jacob Cory Stanley Campbell Koshland Crepevine Koshland Campbell Stanley Moses RareTea Gypsys Chengdu Gypsys RareTea Moses Stanley LeConte Campanile OCF Campanile LeConte Stanley Cory Bechtel Latimer Edwards Easterly Edwards Latimer Bechtel Cory Stanley LeConte Campanile Wurster McCone Spats Stonefire PiLambda PiAlphaPhi PiLambda Stonefire Spats McCone Wurster Campanile LeConte Stanley Cory Jacob Foothill Dwinelle Haas Crossroads Lawrence UCTheatre NCEM UCTheatre Lawrence Crossroads Haas Dwinelle Foothill Jacob Cory Stanley Campbell Stanley LeConte Campanile Wurster Campanile LeConte Stanley Cory Jacob Evan Blackwell McLaughlin Blackwell Evan Jacob Cory Bechtel Birge Bowles Calvin Bowles Birge Bechtel Cory Stanley Moses Greek Unit2 Greek Moses Stanley LeConte Campanile Bongo Campanile LeConte Stanley Cory Bechtel Baker Strada Baker Bechtel Cory Stanley LeConte VLSB Chez VLSB LeConte Campanile Bongo Artichokes Bongo Campanile LeConte Stanley Cory Bechtel Wilde StrawberryCreek Wilde Bechtel Minor Memorial Minor Bechtel Cory Jacob Foothill Davis Foothill Jacob Cory Stanley LeConte VLSB Boalt Kresge Boalt VLSB LeConte Stanley Cory Bechtel Baker Bechtel Cory Jacob Hertz CVStarr Unit3 CKerr Unit3 CVStarr Hertz Jacob Cory Stanley LeConte Stanley Cory Bechtel Birge Bowles
75
Cory Extension
Evan Blackwell
Foothill Unit1
Doe Campbell
VLSB Boalt
Mulford Crescent
HearstAnnex Lothlorien
Unit1 Foothill
Blackwell Evan
Zellerbach Wurster
MLK Rochdale
CVStarr Unit3
Maxwell Barrows
Hargrove BearFoodCourt
Etcheverry Calvin
Sutardja Wellman
Hildebrand YogurtPark
Kah Sutardja
Kee Moses
Morgan Martinez
LKShing Morgan
Barrows Maxwell
Unit3 CKerr
Pavilion Haas
Sather Etcheverry
GBC Pavilion
Stacks Sherman
Simons Baker
Warren Safeway
PeoplesPark Kresge
TopDog GammaPhiBeta
Jupiter VLSB
BART Unit2
Edwards Easterly
Pappys HearstAnnex
YogurtPark Hildebrand
ShengKee Bongo
Euclid Crossroads
Wilde StrawberryCreek
Sherman Stacks
Fenwick Barker
Kips LaVals
Crescent Mulford
Starbucks Chipotle
UCha Strada
BlueDoor Cloyne
Chipotle MFoundry
Cinnaholic Greek
Botanical Spats
FallRush IndianRock
UCTheatre NCEM
Crepevine Koshland
Chengdu Gypsys
OCF Campanile
Easterly Edwards
PiLambda PiAlphaPhi
PiAlphaPhi PiLambda
NCEM UCTheatre
Campbell Doe
Wurster Zellerbach
McLaughlin GenPlantBio
Calvin Graduate
Unit2 Wolf
Bongo ShengKee
Strada RoseGarden
Chez NorthGate
Artichokes Cheeseboard
StrawberryCreek Wilde
Bechtel Birge
Memorial TacoBell AlphaSigmaPhi
Davis Browns
Kresge PeoplesPark Castro
Baker Simons Daiso
CKerr WayWest Ridge
LeConte RSF ALS
