TA0 TA1 TA2 TA3 TA4 TA5 TA6 TA7 TA8 TA9 TA10 TA11 TA12 TA13 TA14 TA15 TA16 TA17 TA18 TA19 TA20 TA21 TA22 TA23 TA24 TA25 TA26 TA27 TA28 TA29 TA30 TA31 TA32 TA33 TA34 TA35 TA36 TA37 TA38 TA39 TA40 TA41 TA42 TA43 TA44 TA45 TA46 TA47 TA48 TA49 TA50 TA51 TA52 TA53 TA54 TA55 TA56 TA57 TA58 TA59 TA60 TA61 TA62 TA63 TA64 TA65 TA66 TA67 TA68 TA69 TA70 TA71 TA72 TA73 TA74 TA75 TA76 TA77 TA78 TA79 TA80 TA81 TA82 TA83 TA84 TA85 TA86 TA87 TA93 TA92 TA93 TA94 TA95 TA96 TA97 TA98 TA99 TA100 TA101 TA102 TA103 TA104 TA105 TA106 TA107 TA108 TA109 TA110 TA111 TA112 TA113 TA114 TA115 TA116 TA117 TA118 TA119 TA120 TA121 TA122 TA123 TA124 TA125 TA126 TA127 TA128 TA129 TA130 TA131 TA132 TA133 TA134 TA135 TA136 TA137 TA138 TA139 TA140 TA141 TA142 TA143 TA144 TA145 TA146 TA147 TA148 TA149 TA150 TA151 TA152 TA153 TA154 TA155 TA156 TA157 TA158 TA159 TA160 TA161 TA162 TA163 TA164 TA165 TA166 TA167 TA168 TA169 TA170 TA171 TA172 TA173 TA174 TA175 TA176 TA177 TA178 TA179 TA180 TA181 TA182 TA183 TA184 TA185 TA186 TA187 TA188 TA189 TA190 TA191 TA192 TA193 TA194 TA195 TA196 TA197 TA198 TA199 TA0 TA1 TA2 TA3 TA4 TA5 TA6 TA7 TA8 TA9 TA10 TA11 TA12 TA13 TA14 TA15 TA16 TA17 TA18 TA19 TA20 TA21 TA22 TA23 TA24 TA25 TA26 TA27 TA28 TA29 TA30 TA31 TA32 TA33 TA34 TA35 TA36 TA37 TA38 TA39 TA40 TA41 TA42 TA43 TA44 TA45 TA46 TA47 TA48 TA197 TA64 TA65 TA66 TA67 TA68 TA69 TA70 TA71 TA70 TA194 TA82 TA83 TA84 TA85 TA86 TA87 TA88 TA89 TA90 TA91 TA92 TA106 TA105 TA120 TA121 TA122 TA123 TA122 TA121 TA61 TA62 TA134 TA133 TA132 TA133 TA134 TA135 TA136 TA137 TA138 TA139 TA140 TA141 TA142 TA143 TA144 TA145 TA146 TA147 TA148 TA147 TA146 TA168 TA167 TA166 TA73 TA179 TA180 TA181 TA182 TA183 TA184 TA185 TA186 TA187 TA188 TA189 TA190 TA191 TA192 TA193 TA194 TA195 TA196 TA197 TA198 TA199 TA0
97
TA1 TA2
TA2 TA3
TA7 TA8
TA10 TA9
TA12 TA175
TA14 TA15
TA15 TA16
TA19 TA20
TA20 TA19
TA22 TA23
TA26 TA25
TA27 TA26
TA30 TA31
TA31 TA32
TA35 TA34
TA43 TA44
TA44 TA43
TA46 TA47
TA47 TA46
TA49 TA50
TA52 TA51
TA53 TA54
TA59 TA75
TA63 TA64
TA68 TA67
TA72 TA73
TA75 TA74
TA79 TA80
TA82 TA83
TA83 TA84
TA86 TA85
TA92 TA106
TA94 TA95
TA95 TA94
TA97 TA98
TA98 TA99
TA102 TA103
TA109 TA108
TA110 TA109
TA113 TA114
TA117 TA116
TA118 TA119
TA121 TA122
TA126 TA127
TA127 TA126
TA130 TA131
TA133 TA134
TA142 TA141
TA146 TA147
TA147 TA148
TA152 TA151
TA153 TA154
TA154 TA155
TA157 TA158
TA164 TA165
TA172 TA171
TA177 TA178
TA178 TA179
TA184 TA185
TA185 TA184
TA187 TA188
TA192 TA191
TA193 TA192
TA196 TA195
TA4 TA5
TA6 TA7
TA11 TA65
TA16 TA17
TA21 TA22
TA23 TA24
TA32 TA33
TA34 TA35
TA36 TA37
TA38 TA39
TA40 TA41
TA48 TA49
TA64 TA63
TA65 TA66
TA67 TA68
TA69 TA70
TA71 TA136
TA85 TA86
TA87 TA88
TA89 TA90
TA91 TA92
TA106 TA107
TA123 TA124
TA132 TA133
TA136 TA135 TA137
TA138 TA139
TA148 TA149
TA168 TA167 TA169
TA180 TA181
TA181 TA180 TA182
TA186 TA187
TA188 TA189
TA189 TA190
