A0 A2 A3 A0 A4 A5 A9 A5 A10 A11 A12 A10 A15 A14 A13 A1 A16 A17 A16 A1 A13 A14 A15 A24 A19 A24 A22 A24 A25 A27 A28 A25 A29 A30 A34 A30 A35 A36 A37 A35 A40 A39 A38 A26 A41 A42 A41 A26 A38 A39 A40 A49 A44 A49 A47 A49 A50 A52 A53 A50 A54 A55 A59 A55 A60 A61 A62 A60 A65 A64 A63 A51 A66 A67 A66 A51 A63 A64 A65 A74 A69 A74 A72 A74 A75 A77 A78 A75 A79 A80 A84 A80 A85 A86 A87 A85 A90 A89 A88 A76 A91 A92 A91 A76 A88 A89 A90 A99 A94 A99 A97 A99 A0 A4 A5 A10 A15 A24 A20 A21 A24 A25 A29 A30 A35 A40 A49 A45 A46 A49 A50 A54 A55 A60 A65 A74 A70 A71 A74 A75 A79 A80 A85 A90 A99 A95 A96 A99 A0
48
A2 A3
A3 A2
A4 A6
A5 A4
A9 A8
A11 A12
A12 A11
A17 A18
A19 A20
A22 A21
A27 A28
A28 A27
A29 A31
A30 A29
A34 A33
A36 A37
A37 A36
A42 A43
A44 A45
A47 A46
A52 A53
A53 A52
A54 A56
A55 A54
A59 A58
A61 A62
A62 A61
A67 A68
A69 A70
A72 A71
A77 A78
A78 A77
A79 A81
A80 A79
A84 A83
A86 A87
A87 A86
A92 A93
A94 A95
A97 A96
A20 A19
A21 A22
A45 A44
A46 A47
A70 A69
A71 A72
A95 A94
A96 A97
