Afghanistan Albania Algeria Andorra Angola Antigu Argentina Armenia Australia Austria Austrian Azerbaijan Baden Bahrain Bangladesh Barbados Bavaria Belarus Belgium Belize Benin Bolivia Bosnia Botswana Brazil Brunei Brunswick Bulgaria Burkina Burma Burundi Cabo Cambodia Cameroon Canada Chad Chile China Colombia Comoros Costarica CotedIvoire Croatia Cuba Cyprus Czechi Czechoslovakia Congo Denmark Djibouti Dominica Dominicanrepublic Ecuador Egypt ElSalvador EquatorialGuinea Eritrea Estonia Eswatini Ethiopia Fiji Finland France Gabon Georgia Germany Ghana Greece Grenada Guatemala Guinea GuineaBissau Guyana Haiti Hanover HanseaticRepublics Hawaii Hesse HolySee Honduras Hungary Iceland India Indonesia Iran Iraq Ireland Israel Italy Jamaica Japan Jordan Kazakhstan Kenya Kiribati Korea Kosovo Kuwait Kyrgyzstan Laos Afghanistan
96
Afghanistan Albania Laos Algeria Kyrgyzstan Afghanistan
Albania Andorra
Algeria Angola
Andorra Antigu
Angola Argentina
Antigu Armenia
Argentina Australia
Armenia Austria
Australia Austrian
Austria Azerbaijan
Austrian Baden
Azerbaijan Bahrain
Baden Bangladesh
Bahrain Barbados
Bangladesh Bavaria
Barbados Belarus
Bavaria Belgium
Belarus Belize
Belgium Benin
Belize Bolivia
Benin Bosnia
Bolivia Botswana
Bosnia Brazil
Botswana Brunei
Brazil Brunswick
Brunei Bulgaria
Brunswick Burkina
Bulgaria Burma
Burkina Burundi
Burma Cabo
Burundi Cambodia
Cabo Cameroon
Cambodia Canada
Cameroon Chad
Canada Chile
Chad China
Chile Colombia
China Comoros
Colombia Costarica
Comoros CotedIvoire
Costarica Croatia
CotedIvoire Cuba
Croatia Cyprus
Cuba Czechi
Cyprus Czechoslovakia
Czechi Congo
Czechoslovakia Denmark
Congo Djibouti
Denmark Dominica
Djibouti Dominicanrepublic
Dominica Ecuador
Dominicanrepublic Egypt
Ecuador ElSalvador
Egypt EquatorialGuinea
ElSalvador Eritrea
EquatorialGuinea Estonia
Eritrea Eswatini
Estonia Ethiopia
Eswatini Fiji
Ethiopia Finland
Fiji France
Finland Gabon
France Georgia
Gabon Germany
Georgia Ghana
Germany Greece
Ghana Grenada
Greece Guatemala
Grenada Guinea
Guatemala GuineaBissau
Guinea Guyana
GuineaBissau Haiti
Guyana Hanover
Haiti HanseaticRepublics
Hanover Hawaii
HanseaticRepublics Hesse
Hawaii HolySee
Hesse Honduras
HolySee Hungary
Honduras Iceland
Hungary India
Iceland Indonesia
India Iran
Indonesia Iraq
Iran Ireland
Iraq Israel
Ireland Italy
Israel Jamaica
Italy Japan
Jamaica Jordan
Japan Kazakhstan
Jordan Kenya
Kazakhstan Kiribati
Kenya Korea
Kiribati Kosovo
Korea Kuwait
