Egbertree Emsham Burrerchester Elmey Watchwang Todderbrough Ciringsmith Rotling Ketley Clerelow Blanhead Shaftgrove Soddleney Egginghall Egmansdown Emsling Camborough Cleremere Fulover Worborough Candlesstanling Chipmerbrook Leatherlow Chipmerbrook Candlesstanling Worborough Fulover Cleremere Camborough Emsling Egmansdown Egginghall Soddleney Shaftgrove Blanhead Clerelow Ketley Rotling Ciringsmith Todderbrough Watchwang Elmey Burrerchester Emsham Egbertree
13
Egbertree Bootherlow
Emsham Skelhampton
Elmey Todderbrough
Watchwang Ciringsmith
Rotling Marlseybrough
Clerelow Shaftgrove
Blanhead Soddleney
Egginghall Reddledenthorne
Emsling Cleremere
Camborough Fulover
Worborough Falrensbury
Chipmerbrook Tipdown
Leatherlow Sidensmith
